"group","power_true","pe","n_cases"
"m_7000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.03_b10_0.038_r3_0.05",1,79.2521310808819,96.987
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.03_b10_0.038_r3_0.05",1,79.2954889342242,69.132
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.03_b10_0.038_r3_0.05",1,79.213953177136,41.643
"m_7000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.03_b10_0.038_r3_0.05",1,87.8632211508685,62.914
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.03_b10_0.038_r3_0.05",0.994,87.8412708920221,45.021
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.03_b10_0.038_r3_0.05",0.962,87.6916623569238,27.34
"m_7000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.025_b10_0.03_r3_0.05",1,74.7251950065522,117.964
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.025_b10_0.03_r3_0.05",1,74.6965488534425,84.36
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.025_b10_0.03_r3_0.05",0.997,74.5286585170844,50.948
"m_7000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.025_b10_0.03_r3_0.05",0.997,82.873240820606,88.626
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.025_b10_0.03_r3_0.05",0.987,82.8387277873796,63.43
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.025_b10_0.03_r3_0.05",0.924,82.7012039899833,38.354
"m_7000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.02_b10_0.025_r3_0.05",1,69.5381205925748,141.918
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.02_b10_0.025_r3_0.05",1,69.4911665294076,101.528
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.02_b10_0.025_r3_0.05",0.994,69.2265997931812,61.44
"m_7000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.02_b10_0.025_r3_0.05",0.991,77.1773821718145,117.856
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.02_b10_0.025_r3_0.05",0.969,77.0771071534292,84.555
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.02_b10_0.025_r3_0.05",0.888,77.0394328665338,50.807
"m_7000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.01_b10_0.012_r3_0.05",0.974,48.1893562318852,239.612
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.01_b10_0.012_r3_0.05",0.915,48.0780620454745,171.521
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0.01_b10_0.012_r3_0.05",0.729,47.9048439725238,103.244
"m_7000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.01_b10_0.012_r3_0.05",0.775,53.4509087594417,238.342
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.01_b10_0.012_r3_0.05",0.657,53.4253581844125,170.345
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0.01_b10_0.012_r3_0.05",0.522,53.3252400507007,102.404
"m_7000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0_b10_0_r3_0.05",0.017,1.6682170099119,447.38
"m_5000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0_b10_0_r3_0.05",0.014,1.87961816161665,318.898
"m_3000_p1_0.1_p2_0.15_r1_0.15_r2_0.15_b30_0_b10_0_r3_0.05",0.017,1.5428826796955,191.973
"m_7000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0_b10_0_r3_0.05",0.031,1.45160070352994,495.08
"m_5000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0_b10_0_r3_0.05",0.024,1.66108758595676,352.921
"m_3000_p1_0.02_p2_0.03_r1_0.03_r2_0.05_b30_0_b10_0_r3_0.05",0.027,1.83753981644438,211.34
